n,w,seed,id_error,eval_return_mean,eval_return_std,theta_hat_mass,theta_hat_length,wall_time_s
0,0.0,0,1.118033988749895,-774.6757534659704,216.67233538140547,1.0,1.0,918.9720194339752
0,0.0,1,1.118033988749895,-808.5025606752014,306.12652498082593,1.0,1.0,956.3425250053406
0,0.0,2,1.118033988749895,-740.9461128547703,260.2801950947827,1.0,1.0,913.5143039226532
0,0.0,3,1.118033988749895,-749.2607772555821,236.7326005956373,1.0,1.0,923.1988139152527
0,0.0,4,1.118033988749895,-773.5136632603094,183.87424522316238,1.0,1.0,833.1281101703644
0,0.0,5,1.118033988749895,-775.731445827284,248.24938834173778,1.0,1.0,844.3388938903809
0,0.0,6,1.118033988749895,-763.8378259760449,247.3053830313238,1.0,1.0,820.4393866062164
0,0.0,7,1.118033988749895,-855.8923546095273,140.27994858093254,1.0,1.0,827.0565400123596
0,0.0,8,1.118033988749895,-736.0696650019543,220.17653136347897,1.0,1.0,829.375810623169
0,0.0,9,1.118033988749895,-729.4190397169759,167.80506761081242,1.0,1.0,826.6737203598022
0,0.1,0,1.118033988749895,-833.2074799373926,153.65740758305023,1.0,1.0,820.0479290485382
0,0.1,1,1.118033988749895,-777.8318341173854,293.19364966919056,1.0,1.0,815.4856796264648
0,0.1,2,1.118033988749895,-801.1963969879723,194.3805896614217,1.0,1.0,823.8875517845154
0,0.1,3,1.118033988749895,-717.8458406769726,255.06871125642192,1.0,1.0,812.8386125564575
0,0.1,4,1.118033988749895,-752.778177013884,257.43690868952217,1.0,1.0,823.4751470088959
0,0.1,5,1.118033988749895,-692.1265418709105,294.48507521127124,1.0,1.0,817.7807998657227
0,0.1,6,1.118033988749895,-814.1300175568106,145.3877130679097,1.0,1.0,825.2800397872925
0,0.1,7,1.118033988749895,-696.1700875243383,288.4969734615063,1.0,1.0,822.9973771572113
0,0.1,8,1.118033988749895,-708.7033385163911,236.87976751600897,1.0,1.0,845.8309590816498
0,0.1,9,1.118033988749895,-749.3592359116575,195.09666207999734,1.0,1.0,831.1773419380188
0,0.2,0,1.118033988749895,-782.4677699359297,143.78738578414092,1.0,1.0,823.3589346408844
0,0.2,1,1.118033988749895,-628.7604414095879,286.9099293376436,1.0,1.0,828.161609172821
0,0.2,2,1.118033988749895,-811.9081029906454,140.41272562201806,1.0,1.0,854.5563433170319
0,0.2,3,1.118033988749895,-738.1734858816649,199.31536686511535,1.0,1.0,842.9175527095795
0,0.2,4,1.118033988749895,-747.6678013462695,176.02455012236513,1.0,1.0,848.7836272716522
0,0.2,5,1.118033988749895,-691.7575219062664,178.07265936277037,1.0,1.0,1077.3712804317474
0,0.2,6,1.118033988749895,-703.3702109256953,261.52295355214295,1.0,1.0,1042.4708552360535
0,0.2,7,1.118033988749895,-745.5364044433855,216.70904249015305,1.0,1.0,965.7379932403564
0,0.2,8,1.118033988749895,-817.288751932246,180.48642281872725,1.0,1.0,1028.6540341377258
0,0.2,9,1.118033988749895,-501.7778194465462,283.1507260566914,1.0,1.0,823.3262052536011
0,0.3,0,1.118033988749895,-765.8334784539775,213.74968552873165,1.0,1.0,934.6958892345428
0,0.3,1,1.118033988749895,-666.836153947406,205.60221442938268,1.0,1.0,1042.0314099788666
0,0.3,2,1.118033988749895,-689.5729911882892,212.019228865416,1.0,1.0,927.3389205932617
0,0.3,3,1.118033988749895,-788.8185104951233,152.00170081063013,1.0,1.0,821.0736699104309
0,0.3,4,1.118033988749895,-830.3324936678066,131.78380471285246,1.0,1.0,975.7425916194916
0,0.3,5,1.118033988749895,-723.2543539091253,171.09596779991992,1.0,1.0,989.0351111888885
0,0.3,6,1.118033988749895,-726.3768058284704,242.79195500758695,1.0,1.0,823.542652130127
0,0.3,7,1.118033988749895,-682.69680434476,199.199935654779,1.0,1.0,897.8560631275177
0,0.3,8,1.118033988749895,-731.6112397103814,127.57778435542842,1.0,1.0,895.2285101413727
0,0.3,9,1.118033988749895,-714.4419634574974,137.6796342946443,1.0,1.0,830.1761693954468
0,0.5,0,1.118033988749895,-797.1917707100461,144.6726165624189,1.0,1.0,809.6108808517456
0,0.5,1,1.118033988749895,-793.9466683070539,130.97996402754418,1.0,1.0,823.3841378688812
0,0.5,2,1.118033988749895,-790.2948053941257,120.78037225997399,1.0,1.0,825.0772755146027
0,0.5,3,1.118033988749895,-742.261490850106,144.44035119132286,1.0,1.0,1141.5378527641296
0,0.5,4,1.118033988749895,-701.994861385964,126.82206817741094,1.0,1.0,963.0046210289001
0,0.5,5,1.118033988749895,-726.7816784274756,148.1807505866492,1.0,1.0,976.1312563419342
0,0.5,6,1.118033988749895,-750.8164181925213,128.5743827894979,1.0,1.0,822.5415742397308
0,0.5,7,1.118033988749895,-783.8768294501352,127.30053196769538,1.0,1.0,832.6777067184448
0,0.5,8,1.118033988749895,-774.9753384463389,114.04980161126791,1.0,1.0,835.3060986995697
0,0.5,9,1.118033988749895,-775.1329366380902,85.79820766043174,1.0,1.0,832.3100197315216
5,0.0,0,1.0218121158021176,-428.108790861443,298.8824108787378,3.0,1.29,823.6389737129211
5,0.0,1,1.0071742649611337,-361.67052000279347,276.1567539558761,3.0,1.3800000000000001,817.7917799949646
5,0.0,2,0.6201814250685036,-341.33763011059665,264.813602673152,1.3800000000000001,1.5150000000000001,909.3678007125854
5,0.0,3,1.0320004844960102,-585.6188937678786,267.35865824219235,3.0,1.245,918.0805385112762
5,0.0,4,1.0071742649611337,-334.4651419363236,267.16927515393564,3.0,1.3800000000000001,981.0478556156158
5,0.0,5,1.0398196959088628,-751.6204094540487,134.07349230942145,3.0,1.7850000000000001,809.8078796863556
5,0.0,6,0.23690715480964297,-335.87594442453917,268.16224950890165,2.2350000000000003,1.4700000000000002,950.9825501441956
5,0.0,7,1.0303640133467395,-435.2326510891885,255.6083439161041,0.9750000000000001,1.6050000000000002,981.9497759342194
5,0.0,8,1.0188351191434266,-313.9896196383944,238.6748625886906,3.0,1.6950000000000003,940.8382189273834
5,0.0,9,0.5700877125495688,-332.3807549150735,226.63215723816543,1.4700000000000002,1.29,962.8006768226624
5,0.1,0,1.0218121158021176,-610.0742387950015,271.15993946102316,3.0,1.29,810.3128750324249
5,0.1,1,1.0071742649611337,-362.8378515440289,286.9794417071586,3.0,1.3800000000000001,966.6048038005829
5,0.1,2,0.6201814250685036,-341.7492763181465,264.79745512825815,1.3800000000000001,1.5150000000000001,810.1422581672668
5,0.1,3,1.0320004844960102,-642.0613854698958,270.19844259858473,3.0,1.245,949.0478172302246
5,0.1,4,1.0071742649611337,-333.94269453532416,265.8818605836201,3.0,1.3800000000000001,949.0923447608948
5,0.1,5,1.0398196959088628,-789.7261823830656,211.72918859019472,3.0,1.7850000000000001,816.7487902641296
5,0.1,6,0.23690715480964297,-335.92994610640926,268.18112308824766,2.2350000000000003,1.4700000000000002,819.835542678833
5,0.1,7,1.0303640133467395,-623.0888437232998,213.50480370747493,0.9750000000000001,1.6050000000000002,819.1354110240936
5,0.1,8,1.0188351191434266,-359.67453615098725,255.05296954274402,3.0,1.6950000000000003,831.4651668071747
5,0.1,9,0.5700877125495688,-332.0334684299273,226.21330591291493,1.4700000000000002,1.29,824.5666081905365
5,0.2,0,1.0218121158021176,-557.8190827548507,302.0670647132611,3.0,1.29,826.4148898124695
5,0.2,1,1.0071742649611337,-375.70819488277203,294.56513068391575,3.0,1.3800000000000001,829.0422718524933
5,0.2,2,0.6201814250685036,-342.34544916570064,265.6414494386082,1.3800000000000001,1.5150000000000001,903.2140021324158
5,0.2,3,1.0320004844960102,-655.0859948338071,294.0869905753325,3.0,1.245,929.5629591941833
5,0.2,4,1.0071742649611337,-354.84384706542437,276.93259848649825,3.0,1.3800000000000001,935.1970539093018
5,0.2,5,1.0398196959088628,-749.9638775014222,218.71941785115206,3.0,1.7850000000000001,939.9931602478027
5,0.2,6,0.23690715480964297,-343.48300216288294,269.3107447344306,2.2350000000000003,1.4700000000000002,818.6303606033325
5,0.2,7,1.0303640133467395,-428.4479214468991,263.3971951633018,0.9750000000000001,1.6050000000000002,961.4783990383148
5,0.2,8,1.0188351191434266,-398.66825747515486,271.53947135036657,3.0,1.6950000000000003,969.8104662895203
