n,w,seed,id_error,eval_return_mean,eval_return_std,theta_hat_mass,theta_hat_length,wall_time_s
0,0.0,0,1.8027756377319946,-955.7319564971829,248.57585382851434,1.0,1.0,962.2808825969696
0,0.0,1,1.8027756377319946,-964.5664206034351,316.09424092364657,1.0,1.0,965.8712294101715
0,0.0,2,1.8027756377319946,-976.5607475045681,217.99214837501134,1.0,1.0,969.5366442203522
0,0.0,3,1.8027756377319946,-906.8756506424381,262.4322627181846,1.0,1.0,961.3737993240356
0,0.0,4,1.8027756377319946,-948.3539540279351,219.42850132342727,1.0,1.0,973.11146068573
0,0.2,0,1.8027756377319946,-891.2656411789628,238.98527011706938,1.0,1.0,954.8164372444153
0,0.2,1,1.8027756377319946,-885.1250686389934,297.6334764959187,1.0,1.0,850.0395214557648
0,0.2,2,1.8027756377319946,-922.8261541017255,222.21203210741066,1.0,1.0,832.9411668777466
0,0.2,3,1.8027756377319946,-908.8282123166024,223.42208007218215,1.0,1.0,841.6765015125275
0,0.2,4,1.8027756377319946,-937.7688217612165,208.76219143367706,1.0,1.0,841.3723928928375
0,0.5,0,1.8027756377319946,-912.8163442063573,231.32430479291176,1.0,1.0,843.4038224220276
0,0.5,1,1.8027756377319946,-912.3403257901942,232.96495515812154,1.0,1.0,841.2443885803223
0,0.5,2,1.8027756377319946,-880.1072200123975,224.02635829853935,1.0,1.0,841.7106764316559
0,0.5,3,1.8027756377319946,-867.5702570254405,244.06759637130278,1.0,1.0,835.0477252006531
0,0.5,4,1.8027756377319946,-847.3208037009048,217.5026095515828,1.0,1.0,837.5551707744598
10,0.0,0,0.5635601121442148,-719.5246997180784,349.8770939673149,3.0,1.7400000000000002,830.14217710495
10,0.0,1,0.5281098370604357,-614.2025765941354,438.4722812060842,3.0,1.8300000000000003,828.512692451477
10,0.0,2,1.7886866690396057,-866.0725657695393,211.66224632118315,0.75,2.37,821.449134349823
10,0.0,3,0.6660330322138683,-817.1397745729372,281.48110818183005,3.0,1.5600000000000003,823.1855266094208
10,0.0,4,0.6660330322138683,-807.0817107261435,290.7305685305905,3.0,1.5600000000000003,827.4609513282776
10,0.2,0,0.5635601121442148,-766.8777440174816,351.48938320662984,3.0,1.7400000000000002,1024.566489458084
10,0.2,1,0.5281098370604357,-764.3467850383598,356.3693131071911,3.0,1.8300000000000003,978.4645235538483
10,0.2,2,1.7886866690396057,-914.8160467616751,178.10475645520944,0.75,2.37,1008.5823020935059
10,0.2,3,0.6660330322138683,-856.5408530713319,272.4395677364813,3.0,1.5600000000000003,853.3477156162262
10,0.2,4,0.6660330322138683,-796.4223441263738,304.69496115187866,3.0,1.5600000000000003,1295.3615975379944
10,0.5,0,0.5635601121442148,-865.7484890317292,251.12419404350518,3.0,1.7400000000000002,1184.8689744472504
10,0.5,1,0.5281098370604357,-781.8556172776904,361.0278191880877,3.0,1.8300000000000003,1184.421674489975
10,0.5,2,1.7886866690396057,-831.8760021698421,238.8772542601477,0.75,2.37,1202.6453833580017
10,0.5,3,0.6660330322138683,-830.3948299987284,298.50579829034467,3.0,1.5600000000000003,867.95388007164
10,0.5,4,0.6660330322138683,-841.9079332419639,289.0007949948692,3.0,1.5600000000000003,873.1337609291077
50,0.0,0,0.09552486587271422,-550.5565267230936,446.78994704170213,2.595,2.0100000000000002,814.5362873077393
50,0.0,1,0.5000999900019995,-571.0911931600579,464.713085474251,3.0,2.0100000000000002,839.8070452213287
50,0.0,2,0.5000999900019995,-550.3693837173175,441.4988981010579,3.0,2.0100000000000002,825.404848575592
50,0.0,3,0.5063595560468864,-513.3058494758442,443.95379687570477,3.0,1.9200000000000002,818.279714345932
50,0.0,4,0.5281098370604357,-679.6052198210584,379.943622292614,3.0,1.8300000000000003,826.6734008789062
50,0.2,0,0.09552486587271422,-559.8319175952504,445.27785377052885,2.595,2.0100000000000002,841.2975940704346
50,0.2,1,0.5000999900019995,-587.119528154599,461.83003770150543,3.0,2.0100000000000002,841.0687305927277
50,0.2,2,0.5000999900019995,-689.0462342253379,371.5953822096191,3.0,2.0100000000000002,833.7694613933563
50,0.2,3,0.5063595560468864,-525.1904780140243,451.07317838492474,3.0,1.9200000000000002,823.7648091316223
50,0.2,4,0.5281098370604357,-679.8595614381318,365.4980775664897,3.0,1.8300000000000003,832.3627722263336
50,0.5,0,0.09552486587271422,-822.6741616627817,265.45864197837136,2.595,2.0100000000000002,841.314013004303
50,0.5,1,0.5000999900019995,-788.8404236180824,372.23272565472524,3.0,2.0100000000000002,828.5577483177185
50,0.5,2,0.5000999900019995,-848.4479251051155,245.15940958753737,3.0,2.0100000000000002,959.5188429355621
50,0.5,3,0.5063595560468864,-825.8131709776469,270.84331607437974,3.0,1.9200000000000002,810.0968809127808
50,0.5,4,0.5281098370604357,-754.3125588955962,365.7710853083159,3.0,1.8300000000000003,826.4366464614868
