n,w,seed,id_error,eval_return_mean,eval_return_std,theta_hat_mass,theta_hat_length,wall_time_s
0,0.0,0,0.5385164807134504,-248.6915087609603,161.53752861699755,1.0,1.0,944.1306133270264
0,0.0,1,0.5385164807134504,-264.3625620484781,191.8695722908156,1.0,1.0,883.013548374176
0,0.0,2,0.5385164807134504,-252.00460069838172,171.92434992419624,1.0,1.0,889.4062917232513
0,0.0,3,0.5385164807134504,-241.41011173807428,181.54585558984658,1.0,1.0,817.831048488617
0,0.0,4,0.5385164807134504,-266.8481019240456,202.76520945928908,1.0,1.0,821.6228201389313
0,0.2,0,0.5385164807134504,-353.91945363433763,169.35135029136376,1.0,1.0,857.117516040802
0,0.2,1,0.5385164807134504,-249.56762555492364,165.75989240137827,1.0,1.0,846.4919834136963
0,0.2,2,0.5385164807134504,-463.1459959545558,206.96359665069923,1.0,1.0,839.1638534069061
0,0.2,3,0.5385164807134504,-306.288688673625,146.17449330818025,1.0,1.0,906.0174086093903
0,0.2,4,0.5385164807134504,-249.95727994317173,165.60515799195315,1.0,1.0,905.4977962970734
0,0.5,0,0.5385164807134504,-397.16437989558335,250.38761365201657,1.0,1.0,1056.3900485038757
0,0.5,1,0.5385164807134504,-251.07086485438518,167.6800959408302,1.0,1.0,905.596330165863
0,0.5,2,0.5385164807134504,-376.17738541749924,207.2761886663582,1.0,1.0,941.5945818424225
0,0.5,3,0.5385164807134504,-384.6073757065336,126.98574963157698,1.0,1.0,940.1716208457947
0,0.5,4,0.5385164807134504,-279.1798088074255,162.44717659399768,1.0,1.0,938.8357782363892
10,0.0,0,0.349857113690718,-254.58020918691787,160.79277718099965,1.2000000000000002,1.3800000000000001,937.0724017620087
10,0.0,1,0.5568213357981177,-237.34552216010547,147.30220373304317,2.055,1.155,941.1211717128754
10,0.0,2,0.3033562262423501,-221.73312702530174,135.81407346307589,1.2000000000000002,1.155,931.1281940937042
10,0.0,3,1.4556957099613919,-219.59178827225674,137.66418649588542,2.955,1.155,895.9458320140839
10,0.0,4,0.3565459297201414,-221.082781556196,137.37046634541812,1.155,1.29,900.9349322319031
10,0.2,0,0.349857113690718,-294.4650967176682,170.97338528962922,1.2000000000000002,1.3800000000000001,894.1416380405426
10,0.2,1,0.5568213357981177,-238.5149658566031,148.44824008697478,2.055,1.155,882.6144683361053
10,0.2,2,0.3033562262423501,-221.24452474990238,136.0412473159743,1.2000000000000002,1.155,941.5428140163422
10,0.2,3,1.4556957099613919,-226.48561006194436,147.61391715873083,2.955,1.155,889.9065809249878
10,0.2,4,0.3565459297201414,-222.15054799120827,136.3721724100125,1.155,1.29,962.2631785869598
10,0.5,0,0.349857113690718,-312.4696984272669,173.83704845292735,1.2000000000000002,1.3800000000000001,968.6331405639648
10,0.5,1,0.5568213357981177,-253.33027250058734,172.35758425320645,2.055,1.155,977.3871381282806
10,0.5,2,0.3033562262423501,-248.04428346124269,156.68034404141264,1.2000000000000002,1.155,964.4743826389313
10,0.5,3,1.4556957099613919,-714.3597199984873,275.49498824369465,2.955,1.155,946.0273578166962
10,0.5,4,0.3565459297201414,-221.2184497850539,137.07081781941514,1.155,1.29,947.0285494327545
50,0.0,0,0.12816005617976292,-225.91963407895915,145.93072350799903,1.3800000000000001,1.245,814.3492207527161
50,0.0,1,0.42240383520986186,-237.82311000086648,147.63557868877027,1.9200000000000002,1.155,813.716851234436
50,0.0,2,0.6016851336039475,-226.07916256082595,135.62223779116655,2.1,1.155,850.7983567714691
50,0.0,3,0.6914658342969665,-220.02775818082878,137.16526485053166,2.19,1.245,838.003256559372
50,0.0,4,0.19500000000000028,-219.92045918995797,137.39769681095976,1.6950000000000003,1.2000000000000002,845.1178641319275
50,0.2,0,0.12816005617976292,-227.2957043537579,147.1053959111311,1.3800000000000001,1.245,885.6549458503723
50,0.2,1,0.42240383520986186,-238.0420327656625,147.99700322340897,1.9200000000000002,1.155,915.530291557312
50,0.2,2,0.6016851336039475,-225.7843804657395,135.90271589031363,2.1,1.155,882.359617471695
50,0.2,3,0.6914658342969665,-219.5916236972369,137.3927351350838,2.19,1.245,837.2858910560608
50,0.2,4,0.19500000000000028,-220.49309240094198,137.85069294846642,1.6950000000000003,1.2000000000000002,869.2377581596375
50,0.5,0,0.12816005617976292,-246.3706834195062,167.51930715602373,1.3800000000000001,1.245,840.738810300827
50,0.5,1,0.42240383520986186,-245.79684614924082,157.53633541308037,1.9200000000000002,1.155,898.2654180526733
50,0.5,2,0.6016851336039475,-374.17722407339977,211.44505221779852,2.1,1.155,890.3443477153778
50,0.5,3,0.6914658342969665,-233.1796458182908,158.70247225277453,2.19,1.245,895.0675876140594
50,0.5,4,0.19500000000000028,-227.29415192729158,136.91960077047327,1.6950000000000003,1.2000000000000002,823.2338130474091
